productCode,productName,quantityInStock,warehouseName
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S12_2823,"2002 Suzuki XREO",9997,North
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S18_1984,"1995 Honda Civic",9772,East
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S700_2466,"America West Airlines B757-200",9653,North
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S24_3432,"2002 Chevy Corvette",9446,East
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S18_2325,"1932 Model A Ford J-Coupe",9354,West
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S32_2206,"1982 Ducati 996 R",9241,North
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S24_3151,"1912 Ford Model T Delivery Wagon",9173,West
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
S18_3482,"1976 Ford Gran Torino",9127,East
